group,item,plural,classification,frequency_rank,recipient_id,sent_construct,sentence
A,101,FALSE,alternating,1,longIndefinite,DOsentence,Bob took a man wearing a hat a gift.
B,101,FALSE,alternating,1,longIndefinite,PDsentence,Bob took a gift to a man wearing a hat.
C,101,FALSE,alternating,1,shortIndefinite,DOsentence,Juan took a woman a gift.
D,101,FALSE,alternating,1,shortIndefinite,PDsentence,Juan took a gift to a woman.
E,103,FALSE,alternating,3,longIndefinite,DOsentence,Michael gave a man wearing a hat a message.
F,103,FALSE,alternating,3,longIndefinite,PDsentence,Michael gave a message to a man wearing a hat.
G,103,FALSE,alternating,3,shortIndefinite,DOsentence,Bob gave a woman a message.
H,103,FALSE,alternating,3,shortIndefinite,PDsentence,Bob gave a message to a woman.
B,105,FALSE,alternating,5,longIndefinite,DOsentence,Linda showed a man who was from work a picture.
A,105,FALSE,alternating,5,longIndefinite,PDsentence,Linda showed a picture to a man who was from work.
D,105,FALSE,alternating,5,shortIndefinite,DOsentence,Juan showed a woman a picture.
C,105,FALSE,alternating,5,shortIndefinite,PDsentence,Juan showed a picture to a woman.
F,107,FALSE,alternating,7,longIndefinite,DOsentence,Maria brought a woman who was wearing a hat a blanket.
E,107,FALSE,alternating,7,longIndefinite,PDsentence,Maria brought a blanket to a woman who was wearing a hat.
H,107,FALSE,alternating,7,shortIndefinite,DOsentence,Juan brought a woman a blanket.
G,107,FALSE,alternating,7,shortIndefinite,PDsentence,Juan brought a blanket to a woman.
C,109,FALSE,alternating,9,longIndefinite,DOsentence,John paid a man wearing a hat a compliment.
D,109,FALSE,alternating,9,longIndefinite,PDsentence,John paid a compliment to a man wearing a hat.
A,109,FALSE,alternating,9,shortIndefinite,DOsentence,Mary paid a woman a compliment.
B,109,FALSE,alternating,9,shortIndefinite,PDsentence,Mary paid a compliment to a woman.
G,111,FALSE,alternating,11,longIndefinite,DOsentence,Maria offered a man from work a payment.
H,111,FALSE,alternating,11,longIndefinite,PDsentence,Maria offered a payment to a man from work.
E,111,FALSE,alternating,11,shortIndefinite,DOsentence,Alice offered a woman a payment.
F,111,FALSE,alternating,11,shortIndefinite,PDsentence,Alice offered a payment to a woman.
D,113,FALSE,alternating,13,longIndefinite,DOsentence,Linda sold a woman who was from work some coffee.
C,113,FALSE,alternating,13,longIndefinite,PDsentence,Linda sold some coffee to a woman who was from work.
B,113,FALSE,alternating,13,shortIndefinite,DOsentence,Alice sold a man some coffee.
A,113,FALSE,alternating,13,shortIndefinite,PDsentence,Alice sold some coffee to a man.
H,115,FALSE,alternating,15,longIndefinite,DOsentence,Michael hit a woman wearing a hat a curveball.
G,115,FALSE,alternating,15,longIndefinite,PDsentence,Michael hit a curveball to a woman wearing a hat.
F,115,FALSE,alternating,15,shortIndefinite,DOsentence,Bob hit a woman a curveball.
E,115,FALSE,alternating,15,shortIndefinite,PDsentence,Bob hit a curveball to a woman.
A,117,FALSE,alternating,17,longIndefinite,DOsentence,Mary taught a woman wearing a hat a concept.
B,117,FALSE,alternating,17,longIndefinite,PDsentence,Mary taught a concept to a woman wearing a hat.
C,117,FALSE,alternating,17,shortIndefinite,DOsentence,Maria taught a woman a concept.
D,117,FALSE,alternating,17,shortIndefinite,PDsentence,Maria taught a concept to a woman.
