group,item,plural,classification,frequency_rank,recipient_id,sent_construct,sentence
,201,,high,,,filler,Amy made the teacher a dress out of wool
,202,,high,,,filler,Mary sold the company the land for little money
,203,,high,,,filler,The trainer instructed the puppy to bark on her command
,204,,high,,,filler,John trained the parrot to tell really stupid jokes
,205,,high,,,filler,Matt was running by the road near the corn.
,206,,high,,,filler,Michael relaxed in the yard behind the house
,207,,high,,,filler,The homeowner described the bedroom in the basement
,208,,high,,,filler,The company built the monastery a church on the hill
,209,,high,,,filler,Linda reserved the committee a table for a lunch meeting
,210,,high,,,filler,Maria designed the senator an office with large windows
,211,,high,,,filler,Bob fed the dog the food before the trip
,212,,high,,,filler,Alice gave the plant some water from the pitcher
,213,,high,,,filler,Juan bought the woman a steak at the grocery store
,214,,high,,,filler,Mary built the producer a set before the deadline
,215,,high,,,filler,Alice showed the president a picture of the parade
,216,,high,,,filler,Alice hired a man an accountant for tax season
,217,,high,,,filler,John waited by the window
,218,,low,,,filler,Michael paved the courthouse the post office in one week
,219,,low,,,filler,Margaret boxed the the man to discuss current political events
,220,,low,,,filler,The desk floored the book the papers without a stamp
,221,,low,,,filler,Percy read the lyrics the music in the evening
,222,,low,,,filler,Jared faxed the memo the staff the next day
,223,,low,,,filler,Alex contributed the orchestra the gift after the show
,224,,low,,,filler,Jackson papered the walls the posters in ten minutes
,225,,low,,,filler,Anna kneaded at the bakery across the street
,226,,low,,,filler,Patrick smiled the lesson by the chalkboard at the school
,227,,low,,,filler,Johan inserted at the bench in the lab
,228,,low,,,filler,Bob smiled the ham up in three minutes
,229,,low,,,filler,George put the strings
,230,,low,,,filler,Marie walked the gate wide
,231,,low,,,filler,Sarah grilled up the steak black in three minutes
,232,,low,,,filler,Juan cut up the packages open in minutes
,233,,low,,,filler,John soaped a man to photograph the baby seal
,234,,low,,,filler,The novel described the reader the situation in great detail
,235,,low,,,filler,The computer maintained the files the server around the clock
,236,,low,,,filler,The lawyer gobbled the jury to convict the innocent defendant
,237,,low,,,filler,Linda walked the patient the procedure after the meeting
,238,,low,,,filler,John served the food the table before the end of the shift
,239,,low,,,filler,Maria said the people the story before the meal
,240,,low,,,filler,Alice included at a desk in the office
,241,,low,,,filler,Michael coughed the stew near the fire at the campsite
,242,,low,,,filler,Bob lived the bear in the forest by the mountain
,243,,low,,,filler,Mary ran the soil by the road near the corn
,244,,low,,,filler,John nested the man
,245,,low,,,filler,Linda humidified the demanding woman for quite a few years
,246,,low,,,filler,Maria lambed a woman though she was sick
,247,,low,,,filler,Michael bleated the campaign advisor according to the article
,248,,low,,,filler,Bob pearled a temperamental superstar according to the memo
,249,,low,,,filler,Luke played the songs a woman for three hours
,250,,low,,,filler,Matt thronged the town's people
